Team,first1,first2,first3,first4,first5,second1,second2,second3,second4,third1,third2,third3,third4,fourth1,fourth2,fourth3,wrap5
BRA,1958,1962,1970,1994,2002,1950,1998,,,1938,1978,,,1974,2014,,
GER,1954,1974,1990,2014,,1966,1982,1986,2002,1934,1970,2006,2010,1958,,,
ITA,1934,1938,1982,2006,,1970,1994,,,1990,,,,1978,,,
ARG,1978,1986,,,,1930,1990,2014,,,,,,,,,
URU,1930,1950,,,,,,,,,,,,1954,1970,2010,
FRA,1998,,,,,2006,,,,1958,1986,,,1982,,,
ENG,1966,,,,,,,,,,,,,1990,,,
ESP,2010,,,,,,,,,,,,,1950,,,
NED,,,,,,1974,1978,2010,,2014,,,,1998,,,
TCH,,,,,,1934,1962,,,,,,,,,,
HUN,,,,,,1938,1954,,,,,,,,,,
SWE,,,,,,1958,,,,1950,1994,,,1938,,,
POL,,,,,,,,,,1974,1982,,,,,,
AUT,,,,,,,,,,1954,,,,1934,,,
POR,,,,,,,,,,1966,,,,2006,,,
USA,,,,,,,,,,1930,,,,,,,
CHI,,,,,,,,,,1962,,,,,,,
CRO,,,,,,,,,,1998,,,,,,,
TUR,,,,,,,,,,2002,,,,,,,
YUG,,,,,,,,,,,,,,1930,1962,,
URS,,,,,,,,,,,,,,1966,,,
BEL,,,,,,,,,,,,,,1986,,,
BUL,,,,,,,,,,,,,,1994,,,
KOR,,,,,,,,,,,,,,2002,,,
